,Municipality,Total,BE,CDS-PP,PAN,PCP-PEV,PPD/PSD,PS,Others,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People_x,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Total_Number_People_y,Without_Education,Basic_First_Cycle,Basic_Second_Cycle,Basic_Third_Cycle,Secondary,Superior,Fraction_Without_Education,Fraction_Basic_First_Cycle,Fraction_Basic_Second_Cycle,Fraction_Basic_Third_Cycle,Fraction_Secondary,Fraction_Superior,Total_Average_income,Unemployment_%Rate,Unemployment_Rate,Coordinates,x,y
54,Marco de Canaveses,25860,802,2785,146.0,864.0,11585.0,8932.0,746.0,PPD/PSD,0.4479891724671307,53514,9559,37162,6794,0.17862615390365139,0.6944351010950406,0.12695743170011586,43795,5107,14693.0,8170.0,8209.0,5066.0,2550.0,0.1166114853293755,0.33549491951135973,0.18655097613882862,0.187441488754424,0.11567530540015984,0.05822582486585227,665.3,10.3,0.10300000000000001,"(41.1845043, -8.1477551)",41.18450429999999,-8.1477551
55,Paços de Ferreira,28254,865,2625,145.0,1009.0,14107.0,8733.0,770.0,PPD/PSD,0.4992921356268139,56560,10227,40228,6105,0.1808168316831683,0.7112446958981612,0.10793847241867044,46020,4417,15865.0,9976.0,8191.0,4741.0,2830.0,0.09598000869187309,0.34474141677531506,0.21677531508039982,0.1779878313776619,0.10302042590178183,0.06149500217296827,603.8,9,0.09,"(41.2785916, -8.372138099999999)",41.278591600000006,-8.372138099999999
56,Penafiel,39035,1259,3138,257.0,1768.0,17484.0,13854.0,1275.0,PPD/PSD,0.44790572563084413,72279,12609,50576,9094,0.17444901008591707,0.6997329791502372,0.12581801076384566,59509,6801,18873.0,10471.0,11719.0,7570.0,4075.0,0.11428523416626056,0.3171453057520711,0.17595657799660555,0.1969281957350989,0.12720764926313666,0.0684770370868272,703.7,8.1,0.081,"(41.2053186, -8.2896845)",41.2053186,-8.2896845
57,Resende,6051,92,505,33.0,160.0,2787.0,2316.0,158.0,PPD/PSD,0.46058502726822015,11339,1717,7163,2459,0.15142428785607195,0.6317135549872123,0.21686215715671575,9661,2047,3463.0,1194.0,1461.0,987.0,509.0,0.2118828278646103,0.35845150605527376,0.12358969050822896,0.1512265810992651,0.10216333712866163,0.05268605734396025,659.1,11.3,0.113,"(41.10636150000001, -7.963362999999999)",41.1063615,-7.963363
58,Alijó,6942,145,570,34.0,211.0,3262.0,2576.0,144.0,PPD/PSD,0.46989340247767214,11901,1394,7144,3364,0.11713301403243424,0.6002856902781278,0.28266532224182844,10596,1868,4161.0,1370.0,1455.0,1144.0,598.0,0.17629294073235183,0.39269535673839184,0.12929407323518308,0.13731596828992074,0.10796526991317479,0.05643639109097773,748.4,9.1,0.091,"(41.2772291, -7.4749657)",41.2772291,-7.4749657
59,Armamar,3708,74,489,15.0,190.0,2033.0,828.0,79.0,PPD/PSD,0.5482740021574973,6291,780,3914,1597,0.12398664759179781,0.6221586393260213,0.2538547130821809,5468,875,2105.0,746.0,811.0,643.0,288.0,0.16002194586686175,0.3849670811997074,0.1364301389904901,0.14831748354059984,0.1175932699341624,0.05267008046817849,640.0,8.4,0.084,"(41.1000712, -7.681943)",41.10007120000001,-7.6819429999999995
60,Carrazeda de Ansiães,3645,81,428,0.0,78.0,1950.0,997.0,111.0,PPD/PSD,0.5349794238683128,6343,674,3608,2062,0.10625886804351253,0.56881601765726,0.325082768406117,5737,1195,2318.0,592.0,687.0,564.0,381.0,0.20829701934809133,0.4040439253965487,0.10318982046365696,0.11974899773400732,0.09830922084713264,0.06641101621056301,652.7,8.1,0.081,"(41.2428168, -7.308031299999999)",41.24281679999999,-7.3080313
61,Freixo de Espada à Cinta,1980,48,126,0.0,42.0,1053.0,646.0,65.0,PPD/PSD,0.5318181818181819,3765,433,2096,1236,0.1150066401062417,0.5567065073041169,0.3282868525896414,3351,759,1273.0,398.0,454.0,300.0,167.0,0.22649955237242614,0.3798866010146225,0.11877051626380185,0.13548194568785438,0.08952551477170993,0.049835869889585195,628.5,11.5,0.115,"(41.0900806, -6.8087993)",41.09008060000001,-6.8087993
62,Lamego,14424,365,1990,75.0,518.0,6899.0,4281.0,296.0,PPD/PSD,0.47830005546311705,26656,3699,17656,5302,0.13876800720288116,0.6623649459783914,0.1989045618247299,22973,3373,6674.0,3120.0,3938.0,3190.0,2678.0,0.14682453314760807,0.2905149523353502,0.13581160492752362,0.17141862186044488,0.13885866016628215,0.1165716275627911,694.0,11.9,0.11900000000000001,"(41.0953745, -7.812380500000001)",41.0953745,-7.8123805
63,Mesão Frio,2410,58,231,11.0,50.0,1128.0,884.0,48.0,PPD/PSD,0.46804979253112033,4415,623,2918,874,0.14110985277463195,0.6609286523216308,0.19796149490373727,3854,687,1385.0,531.0,606.0,466.0,179.0,0.17825635703165543,0.35936689154125584,0.13777893098079916,0.15723923196678774,0.1209133367929424,0.04644525168655942,636.3,14.9,0.149,"(41.1598648, -7.889922799999999)",41.1598648,-7.8899228
