,Municipality,Total,BE,NC,PAN,PCP-PEV,PPD/PSD.CDS-PP,PS,Others,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People_x,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Total_Number_People_y,Without_Education,Basic_First_Cycle,Basic_Second_Cycle,Basic_Third_Cycle,Secondary,Superior,Fraction_Without_Education,Fraction_Basic_First_Cycle,Fraction_Basic_Second_Cycle,Fraction_Basic_Third_Cycle,Fraction_Secondary,Fraction_Superior,Total_Average_income,Unemployment_%Rate,Unemployment_Rate,Coordinates,x,y
198,Palmela,28912,4348,123,556,5190,7104,9672,1919,PS,0.3345323741007194,64065,10550,41600,11915,0.16467650042925155,0.649340513540935,0.18598298602981347,52151,5271,12467.0,6087.0,11256.0,10031.0,7039.0,0.10107188740388487,0.23905581868037046,0.11671875898832237,0.21583478744415255,0.1923453049797703,0.13497344250349946,1082.4,6.1,0.061,"(38.569441, -8.9016937)",38.569441,-8.9016937
199,Seixal,76594,10590,303,1599,14173,18366,27058,4505,PS,0.353265268820012,164181,26080,109185,28917,0.15884907510613286,0.6650282310376961,0.17612878469494034,132522,8558,30804.0,15780.0,30994.0,28334.0,18052.0,0.06457795686753898,0.23244442432199935,0.11907456875084892,0.23387814853382835,0.21380600956822263,0.13621889195756176,968.4,6.7,0.067,"(38.6410676, -9.0975)",38.64106760000001,-9.0975
200,Sesimbra,23011,3375,89,564,3704,6154,7621,1504,PS,0.3311894311416279,50668,8667,33607,8394,0.17105470908660297,0.6632785979316334,0.16566669298176365,40885,3167,9470.0,5153.0,9370.0,8572.0,5153.0,0.07746117157881864,0.23162529044881985,0.1260364436835025,0.2291794056499939,0.2096612449553626,0.1260364436835025,814.4,5.7,0.057,"(38.4444674, -9.1020079)",38.4444674,-9.1020079
201,Setúbal,57068,8139,246,1240,9232,14578,20102,3531,PS,0.3522464428401206,117973,18889,75075,24010,0.16011290719062837,0.6363744246564892,0.2035211446686954,101628,8977,22976.0,11561.0,22508.0,20350.0,15256.0,0.08833195576022355,0.22607942692958632,0.11375801944346046,0.22147439681977407,0.20024009131341755,0.150116109733538,958.6,8.4,0.084,"(38.5254047, -8.8941)",38.5254047,-8.8941
202,Sintra,167404,22100,639,4009,17123,56298,57555,9680,PS,0.3438089890325201,381728,64123,257433,60173,0.16798086595691172,0.6743885698717411,0.15763318383770644,311202,18351,64044.0,39362.0,76335.0,70910.0,42200.0,0.05896813002487131,0.2057955925733125,0.1264837629578216,0.24529084003316173,0.22785843278642168,0.13560324162441115,977,6.4,0.064,"(38.8029127, -9.3816495)",38.8029127,-9.3816495
203,Vila Franca de Xira,66349,9299,214,1284,11800,16493,23577,3682,PS,0.35534823433661394,140266,23164,95070,22033,0.16514337045328162,0.677783639656082,0.15708011920208748,113372,7469,25084.0,13649.0,26041.0,25634.0,15495.0,0.06588046431217584,0.22125392513142575,0.12039127826976678,0.22969516282680028,0.2261052111632502,0.13667395829658116,924,5.9,0.059000000000000004,"(38.9549771, -8.9889589)",38.9549771,-8.9889589
204,Alcácer do Sal,6295,560,17,44,1700,1010,2655,309,PS,0.4217633042096902,12266,1510,7369,3387,0.12310451654981248,0.600766345997065,0.27612913745312245,11361,2142,3661.0,1489.0,1853.0,1451.0,765.0,0.18853974121996303,0.32224276032039434,0.13106240647830297,0.16310183962679342,0.12771763049027374,0.06733562186427251,758.5,5.5,0.055,"(38.3725007, -8.5110083)",38.3725007,-8.511008300000002
205,Grândola,7174,678,25,74,1966,1371,2668,392,PS,0.3718985224421522,14772,1857,9175,3740,0.12571080422420797,0.6211075006769564,0.25318169509883565,12989,2404,3733.0,1790.0,2175.0,1944.0,943.0,0.1850796828085303,0.28739702825467706,0.1378089152359689,0.16744938024482253,0.14966510123951035,0.07259989221649088,723.8,5.1,0.051,"(38.1762557, -8.5662971)",38.176255700000006,-8.5662971
206,Odemira,11713,1212,33,153,2298,2556,4582,879,PS,0.3911892768718518,25283,2976,15485,6823,0.11770755052802279,0.6124668749752799,0.26986512676501995,22904,5247,6074.0,2520.0,4176.0,3277.0,1610.0,0.22908662242403074,0.26519385260216555,0.1100244498777506,0.18232623122598673,0.14307544533705902,0.07029339853300734,689.4,7.1,0.071,"(37.5972313, -8.6366851)",37.5972313,-8.6366851
207,Santiago do Cacém,14065,1839,53,154,3146,3324,4732,817,PS,0.33643796658371844,29342,3630,18410,7302,0.12371344829936609,0.6274282598323223,0.24885829186831163,26088,3881,6630.0,2790.0,5106.0,4904.0,2777.0,0.14876571603802516,0.25413983440662374,0.10694572217111316,0.19572217111315549,0.18797914750076664,0.10644740877031586,767.8,6.8,0.068,"(37.9650235, -8.528161299999999)",37.9650235,-8.5281613
208,Sines,6465,1064,38,94,1278,1309,2235,447,PS,0.345707656612529,13748,1907,9213,2629,0.13871108524876347,0.6701338376491126,0.19122781495490254,12170,1278,3142.0,1500.0,2622.0,2371.0,1257.0,0.10501232539030403,0.2581758422350041,0.12325390304026294,0.21544782251437963,0.19482333607230895,0.10328677074774034,1252,11.5,0.115,"(37.9571555, -8.860890699999999)",37.9571555,-8.860890699999999
209,Aljustrel,5185,416,8,34,1925,597,1955,250,PS,0.3770491803278688,8672,977,5458,2238,0.11266143911439114,0.6293819188191881,0.2580719557195572,8194,1329,2566.0,952.0,1638.0,1055.0,654.0,0.16219184769343423,0.3131559677813034,0.11618257261410789,0.19990236758603858,0.12875274591164265,0.07981449841347327,785.5,6.5,0.065,"(37.8760582, -8.1649833)",37.8760582,-8.1649833
210,Almodôvar,3726,385,7,30,447,1078,1567,212,PS,0.4205582393988191,7026,818,4154,2055,0.11642470822658696,0.5912325647594648,0.2924850555081127,6566,1602,1788.0,593.0,1411.0,787.0,385.0,0.24398416082851052,0.2723119098385623,0.09031373743527261,0.21489491318915627,0.11985988425220835,0.05863539445628998,677,7.7,0.077,"(37.4891809, -8.090174)",37.4891809,-8.090174000000001
211,Alvito,1118,100,0,4,259,267,431,57,PS,0.3855098389982111,2502,280,1659,563,0.11191047162270183,0.6630695443645084,0.22501998401278978,2179,399,601.0,258.0,421.0,330.0,170.0,0.18311151904543368,0.2758145938503901,0.11840293712712253,0.1932078935291418,0.15144561725562183,0.07801743919229004,781.7,7.3,0.073,"(38.2316311, -8.024700500000002)",38.2316311,-8.0247005
